Volcano Name,Country,Region,Latitude,Longitude,Elev,Type,Status
Abu,Japan,Honshu-Japan,34.5,131.6,571,Shield volcano,Holocene
Acamarachi,Chile,Chile-N,-23.3,-67.62,6046,Stratovolcano,Holocene
Acatenango,Guatemala,Guatemala,14.5,-90.88,3976,Stratovolcano,Historical
Acigol-Nevsehir,Turkey,Turkey,38.57,34.52,1689,Maar,Holocene
Adams,United States,US-Washington,46.21,-121.49,3742,Stratovolcano,Tephrochronology
Adatara,Japan,Honshu-Japan,37.62,140.28,1718,Stratovolcano,Historical
Adwa,Ethiopia,Africa-NE,10.07,40.84,1733,Stratovolcano,Holocene
Afdera,Ethiopia,Africa-NE,13.08,40.85,1295,Stratovolcano,Holocene
Agmagan-Karadag,Armenia,Armenia,40.28,44.75,3560,Volcanic field,Holocene
Agrigan,United States,Mariana Is-C Pacific,18.77,145.67,965,Stratovolcano,Historical
Agua,Guatemala,Guatemala,14.47,-90.74,3760,Stratovolcano,Holocene
Agua de Pau,Portugal,Azores,37.77,-25.47,947,Stratovolcano,Historical
Aguilera,Chile,Chile-S,-50.17,-73.83,0,Stratovolcano,Radiocarbon
Agung,Indonesia,Lesser Sunda Is,-8.34,115.51,3142,Stratovolcano,Historical
Ahyi,United States,Mariana Is-C Pacific,20.42,145.03,-137,Submarine volcano,Uncertain
Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180,Stratovolcanoes,Historical
Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180,Stratovolcano,Historical
Akagi,Japan,Honshu-Japan,36.53,139.18,1828,Stratovolcano,Historical
Akan,Japan,Hokkaido-Japan,43.38,144.02,1499,Caldera,Historical
Akhtang,Russia,Kamchatka,55.43,158.65,1956,Shield volcano,Holocene
Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637,Stratovolcano,Historical
Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366,Complex volcano,Historical
Akuseki-jima,Japan,Ryukyu Is,29.46,129.6,584,Stratovolcanoes,Holocene?
Akuseki-jima,Japan,Ryukyu Is,29.45,129.6,586,Stratovolcano,Holocene
Akutan,United States,Aleutian Is,54.13,-165.97,1303,Stratovolcano,Historical
Alaid,Russia,Kuril Is,50.86,155.55,2339,Stratovolcano,Historical
Alamagan,United States,Mariana Is-C Pacific,17.6,145.83,744,Stratovolcano,Radiocarbon
Alayta,Ethiopia,Africa-NE,12.88,40.57,1501,Shield volcano,Historical
Albano. Monte,Italy,Italy,41.73,12.7,949,Caldera,Holocene
Alcedo. Volcan,Ecuador,Galapagos,-0.43,-91.12,1130,Shield volcano,Historical
Ale Bagu,Ethiopia,Africa-NE,13.52,40.63,1031,Stratovolcano,Holocene
Alid,Eritrea,Africa-NE,14.88,39.92,904,Stratovolcano,Holocene
Alligator Lake,Canada,Canada,60.42,-135.42,2217,Volcanic field,Holocene
Almolonga,Guatemala,Guatemala,14.82,-91.48,3197,Stratovolcano,Historical
Alney-Chashakondzha,Russia,Kamchatka,56.7,159.65,2598,Stratovolcano,Holocene
Alngey,Russia,Kamchatka,57.7,160.4,1853,Stratovolcano,Holocene
Alu,Ethiopia,Africa-NE,13.82,40.55,429,Fissure vent,Holocene
Alutu,Ethiopia,Africa-NE,7.77,38.78,2335,Stratovolcano,Holocene
Amak,United States,Aleutian Is,55.42,-163.15,513,Stratovolcano,Historical
Amasing,Indonesia,Halmahera-Indonesia,-0.55,127.5,1030,Stratovolcano,Holocene
Ambalatungan Group,Philippines,Luzon-Philippines,17.32,121.1,2329,Compound volcano,Fumarolic
Ambang,Indonesia,Sulawesi-Indonesia,0.75,124.42,1795,Complex volcano,Historical
Ambitle,Papua New Guinea,New Ireland-SW Pacif,-4.08,153.65,450,Stratovolcano,Radiocarbon
Amboy,United States,US-California,34.55,-115.78,288,Cinder cone,Holocene
Ambre-Bobaomby,Madagascar,Madagascar,-12.48,49.1,1475,Volcanic field,Holocene
Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334,Pyroclastic shield,Historical
Amorong,Philippines,Luzon-Philippines,15.83,120.81,376,Unknown,Fumarolic
Amsterdam Island,Indian Ocean,Indian O-S,-37.83,77.52,881,Stratovolcano,Holocene
Amukta,United States,Aleutian Is,52.5,-171.25,1066,Stratovolcano,Historical
Anatahan,United States,Mariana Is-C Pacific,16.35,145.67,788,Stratovolcano,Holocene
Anaun,Russia,Kamchatka,56.32,158.83,1828,Stratovolcano,Holocene
Andahua Valley,Peru,Peru,-15.42,-72.33,4713,Cinder cone,Holocene
Andrus,Antarctica,Antarctica,-75.8,-132.33,2978,Shield volcano,Holocene
Aneityum,Vanuatu,Vanuatu-SW Pacific,-20.2,169.83,852,Stratovolcano,Holocene
Aniakchak,United States,Alaska Peninsula,56.88,-158.17,1341,Caldera,Historical
Ankaizina Field,Madagascar,Madagascar,-14.3,48.67,2878,Cinder cone,Holocene
Ankaratra Field,Madagascar,Madagascar,-19.4,47.2,2644,Cinder cone,Holocene
Antillanca Group,Chile,Chile-C,-40.77,-72.15,1990,Stratovolcano,Holocene
Antipodes Island,New Zealand,Pacific-S,-49.68,178.77,402,Pyroclastic cones,Holocene?
Antisana,Ecuador,Ecuador,-0.48,-78.14,5753,Stratovolcano,Historical
Antofagasta de la Sierra,Argentina,Argentina,-26.08,-67.5,4000,Scoria cones,Holocene
Antofagasta de la Sierra,Argentina,Argentina,-26.08,-67.5,4000,Scoria cone,Holocene
Antofalla,Argentina,Argentina,-25.53,-68,6100,Stratovolcano,Holocene
Antuco,Chile,Chile-C,-37.41,-71.35,2979,Stratovolcano,Historical
Aoba,Vanuatu,Vanuatu-SW Pacific,-15.4,167.83,1496,Shield volcano,Historical
Aoga-shima,Japan,Izu Is-Japan,32.45,139.77,423,Stratovolcano,Historical
Apaneca Range,El Salvador,El Salvador,13.89,-89.79,2036,Stratovolcano,Holocene
Apastepeque Field,El Salvador,El Salvador,13.72,-88.77,700,Volcanic field,Holocene
Apo,Philippines,Mindanao-Philippines,6.99,125.27,2954,Stratovolcano,Fumarolic
Apoyeque,Nicaragua,Nicaragua,12.24,-86.34,518,Pyroclastic shield,Radiocarbon
Aracar,Argentina,Argentina,-24.25,-67.77,6082,Stratovolcano,Uncertain
Aracar,Argentina,Argentina,-24.27,-67.77,6082,Stratovolcano,Historical
Aragats,Armenia,Armenia,40.55,44.12,4090,Stratovolcano,Holocene
Aramuaca. Laguna,El Salvador,El Salvador,13.43,-88.11,180,Maar,Holocene
Ararat,Turkey,Turkey,39.7,44.28,5165,Stratovolcano,Holocene
Arayat,Philippines,Luzon-Philippines,15.2,120.74,1026,Stratovolcano,Holocene
Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298,Fissure vent,Historical
Arenal,Costa Rica,Costa Rica,10.46,-84.7,1657,Stratovolcano,Historical
Arenales,Chile,Chile-S,-47.2,-73.48,3437,Stratovolcano,Historical
Arhab. Harra of,Yemen,Arabia-S,15.63,44.08,3100,Volcanic field,Historical
Arjuno-Welirang,Indonesia,Java,-7.73,112.58,3339,Stratovolcano,Historical
Arshan,China,China-E,47.5,120.7,,Cinder cones,Radiocarbon
Asama,Japan,Honshu-Japan,36.4,138.53,2560,Complex volcano,Historical
Asavyo,Ethiopia,Africa-NE,13.07,41.6,1200,Shield volcano,Holocene
Ascension,Atlantic Ocean,Atlantic-S,-7.95,-14.37,858,Stratovolcano,Holocene
Askja,Iceland,Iceland-NE,65.03,-16.75,1516,Stratovolcano,Historical
Aso,Japan,Kyushu-Japan,32.88,131.1,1592,Caldera,Historical
Assab Volc Field,Eritrea,Africa-NE,12.95,42.43,987,Volcanic field,Holocene
Asuncion,United States,Mariana Is-C Pacific,19.67,145.4,857,Stratovolcano,Historical
Atacazo,Ecuador,Ecuador,-0.35,-78.62,4463,Stratovolcano,Radiocarbon
Atakor Volc Field,Algeria,Africa-N,23.33,5.83,2918,Scoria cones,Holocene
Atitlan,Guatemala,Guatemala,14.58,-91.19,3535,Stratovolcano,Historical
Atka,United States,Aleutian Is,52.38,-174.15,1533,Stratovolcano,Historical
Atlasova,Russia,Kamchatka,57.97,160.65,1764,Shield volcano,Holocene
Atlixcos. Cerro Los,Mexico,Mexico,19.81,-96.53,800,Shield volcano,Holocene
Atsonupuri,Russia,Kuril Is,44.8,147.13,1205,Stratovolcano,Historical
Atuel. Caldera del,Argentina,Argentina,-34.65,-70.05,5189,Caldera,Holocene
Auckland Field,New Zealand,New Zealand,-36.9,174.87,260,Volcanic field,Radiocarbon
Augustine,United States,Alaska-SW,59.37,-153.42,1252,Lava dome,Historical
Avachinsky,Russia,Kamchatka,53.26,158.83,2741,Stratovolcano,Historical
Awu,Indonesia,Sangihe Is-Indonesia,3.67,125.5,1320,Stratovolcano,Historical
Axial Seamount,Pacific Ocean,Pacific-NE,45.95,-130,-1500,Submarine volcano,Historical
Ayelu,Ethiopia,Africa-NE,10.08,40.7,2145,Stratovolcano,Holocene
Azufral. Volcan,Colombia,Colombia,1.08,-77.68,4070,Stratovolcano,Radiocarbon
Azul. Cerro,Ecuador,Galapagos,-0.9,-91.42,1690,Shield volcano,Historical
Azul. Cerro [Quizapu],Chile,Chile-C,-35.65,-70.76,3788,Stratovolcano,Historical
Azul. Volcan,Nicaragua,Nicaragua,12.53,-83.87,201,Cinder cone,Holocene
Azuma,Japan,Honshu-Japan,37.73,140.25,2024,Stratovolcano,Historical
Babuyan Claro,Philippines,Luzon-N of,19.52,121.94,1180,Stratovolcano,Historical
Bachelor,United States,US-Oregon,43.98,-121.69,2763,Stratovolcano,Tephrochronology
